_id,SectionID,Highway,DIR,FROM_Distance,TO_Distance,PCI,DMI,IRI,Pave_Type,Pavement_Section_From,Pavement_Section_To,FUNC_CLASS
1,,QEW,E,0.23,4.679,71.84,7.63,1.41,AC,FORT ERIE - CENTRAL AV IC,FORT ERIE - GILMORE RD IC-5,FWY
2,,QEW,E,4.679,13.227,59.31,6.27,1.45,AC,FORT ERIE - GILMORE RD IC-5,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,FWY
3,,QEW,E,36.544,39.849,60.66,6.72,1.81,AC,HWY 405,EAST END GARDEN CITY SKYWAY,FWY
4,,QEW,E,39.849,42.16,79.65,8.86,1.85,AC,EAST END GARDEN CITY SKYWAY,WEST END GARDEN CITY SKYWAY,FWY
5,,QEW,E,42.16,49.837,84.76,9.07,1.42,AC,WEST END GARDEN CITY SKYWAY,1.0 KM W OF HWY 406 IC (FIFTH ST),FWY
6,,QEW,E,49.837,51.134,72.72,7.84,1.31,CO,1.0 KM W OF HWY 406 IC (FIFTH ST),0.60 KM W OF SEVENTH ST IC,FWY
7,,QEW,E,51.134,57.436,84.05,8.87,1.08,CO,0.60 KM W OF SEVENTH ST IC,0.3 KM E OF VICTORIA AVE IC,FWY
8,,QEW,E,57.436,73.174,76.17,7.69,0.88,AC,0.3 KM E OF VICTORIA AVE IC,1.5 KM E OF CASABLANCA BLVD - IC-74,FWY
9,,QEW,E,73.174,75.606,87.21,8.96,0.86,CO,1.5 KM E OF CASABLANCA BLVD - IC-74,1.1 KM W OF CASABLANCA BLVD - IC-74,FWY
10,,QEW,E,75.606,82.518,93.88,9.49,0.71,AC,1.1 KM W OF CASABLANCA BLVD - IC-74,0.7KM E OF FRUITLANDS RD IC-83,FWY
11,,QEW,E,82.518,86.667,90.37,9.27,0.81,CO,0.7KM E OF FRUITLANDS RD IC-83,PINELANDS AV (GRAYS RD UP),FWY
12,,QEW,E,86.667,88.435,86.98,8.85,0.82,AC,PINELANDS AV (GRAYS RD UP),HAMILTON - CENTENNIAL PKWY IC-88,FWY
13,,QEW,E,101.661,104.426,64.55,6.76,1.34,AC,BRANT ST IC,0.9 KM E OF GUELPH LINE,FWY
14,,QEW,E,104.426,109.612,69.2,7.1,1.13,AC,0.9 KM E OF GUELPH LINE,BURLOAK DR IC-109,FWY
15,,QEW,E,109.612,113.598,83.89,8.79,1.2,AC,BURLOAK DR IC-109,THIRD LINE IC-113,FWY
16,,QEW,E,113.598,119.578,82.24,8.54,1.12,AC,THIRD LINE IC-113,0.8KM E TRAFALGAR RD IC-118,FWY
17,,QEW,E,119.578,125.923,88.54,9.16,1.02,AC,0.8KM E TRAFALGAR RD IC-118,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,FWY
18,,QEW,E,125.923,130.882,87.97,9.14,0.93,CO,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,MISSISSAUGA RD IC-130,FWY
19,,QEW,E,130.882,139.363,73.96,8.1,1.4,CO,MISSISSAUGA RD IC-130,ETOBICOKE-HWY 427 IC-139,FWY
20,,QEW,N,13.227,22.092,74.09,7.88,1.41,AC,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,NIAG FALLS - LYONS CK RD IC-21,FWY
21,,QEW,N,22.092,29.594,75.33,7.8,1.15,AC,NIAG FALLS - LYONS CK RD IC-21,NIAG FALLS - HWY 420 IC-30,FWY
22,,QEW,N,29.594,33.295,86.55,9.14,1.26,AC,NIAG FALLS - HWY 420 IC-30,MOUNTAIN RD IC-34,FWY
23,,QEW,N,33.295,36.544,92.32,9.51,0.94,AC,MOUNTAIN RD IC-34,HWY 405,FWY
24,,QEW,N,88.435,91.562,82.19,8.55,1.14,AC,HAMILTON - CENTENNIAL PKWY IC-88,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,FWY
25,,QEW,N,91.562,93.702,79.27,8.17,1.07,AC,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,BURLINGTON SKYWAY SOUTH END,FWY
26,,QEW,N,93.702,96.567,80.26,8.82,1.72,AC,BURLINGTON SKYWAY SOUTH END,NORTH END BURLINGTON SKYWAY,FWY
27,,QEW,N,96.567,101.661,64.92,6.85,1.4,AC,NORTH END BURLINGTON SKYWAY,BRANT ST IC,FWY
28,,QEW,S,13.227,22.092,75.72,7.85,1.16,AC,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,NIAG FALLS - LYONS CK RD IC-21,FWY
29,,QEW,S,22.092,29.594,84.68,8.69,0.97,AC,NIAG FALLS - LYONS CK RD IC-21,NIAG FALLS - HWY 420 IC-30,FWY
30,,QEW,S,29.594,33.295,88.03,9.25,1.2,AC,NIAG FALLS - HWY 420 IC-30,MOUNTAIN RD IC-34,FWY
31,,QEW,S,33.295,36.544,89.07,9.32,1.14,AC,MOUNTAIN RD IC-34,HWY 405,FWY
32,,QEW,S,88.435,91.562,84.13,8.71,1.07,AC,HAMILTON - CENTENNIAL PKWY IC-88,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,FWY
33,,QEW,S,91.562,93.702,90.58,9.22,0.82,AC,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,BURLINGTON SKYWAY SOUTH END,FWY
34,,QEW,S,93.702,96.567,87.5,9.07,1.05,AC,BURLINGTON SKYWAY SOUTH END,NORTH END BURLINGTON SKYWAY,FWY
35,,QEW,S,96.567,101.661,65.33,6.88,1.38,AC,NORTH END BURLINGTON SKYWAY,BRANT ST IC,FWY
36,,QEW,W,0.23,4.679,67.71,7.05,1.27,AC,FORT ERIE - CENTRAL AV IC,FORT ERIE - GILMORE RD IC-5,FWY
37,,QEW,W,4.679,13.227,63.65,6.72,1.41,AC,FORT ERIE - GILMORE RD IC-5,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,FWY
38,,QEW,W,36.544,39.849,63.45,6.86,1.61,AC,HWY 405,EAST END GARDEN CITY SKYWAY,FWY
39,,QEW,W,39.849,42.16,78.8,8.74,1.82,AC,EAST END GARDEN CITY SKYWAY,WEST END GARDEN CITY SKYWAY,FWY
40,,QEW,W,42.16,49.837,68.76,7.25,1.37,AC,WEST END GARDEN CITY SKYWAY,1.0 KM W OF HWY 406 IC (FIFTH ST),FWY
41,,QEW,W,49.837,51.134,72.62,7.65,1.18,CO,1.0 KM W OF HWY 406 IC (FIFTH ST),0.60 KM W OF SEVENTH ST IC,FWY
42,,QEW,W,51.134,57.436,82.61,8.7,1.08,CO,0.60 KM W OF SEVENTH ST IC,0.3 KM E OF VICTORIA AVE IC,FWY
43,,QEW,W,57.436,73.174,82.69,8.48,0.98,AC,0.3 KM E OF VICTORIA AVE IC,1.5 KM E OF CASABLANCA BLVD - IC-74,FWY
44,,QEW,W,73.174,75.606,86.39,8.93,0.91,CO,1.5 KM E OF CASABLANCA BLVD - IC-74,1.1 KM W OF CASABLANCA BLVD - IC-74,FWY
45,,QEW,W,75.606,82.518,94.29,9.57,0.75,AC,1.1 KM W OF CASABLANCA BLVD - IC-74,0.7KM E OF FRUITLANDS RD IC-83,FWY
46,,QEW,W,82.518,86.667,81.36,8.3,0.88,CO,0.7KM E OF FRUITLANDS RD IC-83,PINELANDS AV (GRAYS RD UP),FWY
47,,QEW,W,86.667,88.435,79.36,8.14,1.02,AC,PINELANDS AV (GRAYS RD UP),HAMILTON - CENTENNIAL PKWY IC-88,FWY
48,,QEW,W,101.661,104.426,69.13,7.08,1.11,AC,BRANT ST IC,0.9 KM E OF GUELPH LINE,FWY
49,,QEW,W,104.426,109.612,69.03,7.06,1.1,AC,0.9 KM E OF GUELPH LINE,BURLOAK DR IC-109,FWY
50,,QEW,W,109.612,113.598,74.29,7.76,1.24,AC,BURLOAK DR IC-109,THIRD LINE IC-113,FWY
51,,QEW,W,113.598,119.578,81.32,8.45,1.13,AC,THIRD LINE IC-113,0.8KM E TRAFALGAR RD IC-118,FWY
52,,QEW,W,119.578,125.923,86.28,8.9,1.01,AC,0.8KM E TRAFALGAR RD IC-118,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,FWY
53,,QEW,W,125.923,130.882,89.29,9.31,0.94,CO,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,MISSISSAUGA RD IC-130,FWY
54,,QEW,W,130.882,139.363,76.39,8.19,1.25,CO,MISSISSAUGA RD IC-130,ETOBICOKE-HWY 427 IC-139,FWY
55,,10,B,29.554,34.176,65.72,6.92,1.38,AC,HWY 410 / HWY 10 BULL NOSE,CALEDON - PEEL RD 9 KING ST (VICTORIA),ART
56,,10,B,34.176,42.606,66.33,6.91,1.28,AC,CALEDON - PEEL RD 9 KING ST (VICTORIA),0.7 KM S OF S JCT PEEL RD 11,ART
57,,10,B,42.606,46.792,69.61,7.04,1,AC,0.7 KM S OF S JCT PEEL RD 11,1 KM S JCT PEEL RD 24-MAIN ST,ART
58,,10,B,46.792,48.657,71.83,8.22,2.12,AC,1 KM S JCT PEEL RD 24-MAIN ST,0.8KM N OF PEEL RD 24-MAIN ST,ART
59,,10,B,48.657,57.203,89.86,9.31,1.03,AC,0.8KM N OF PEEL RD 24-MAIN ST,JCT OF HWY 9 (ORANGEVILLE),ART
60,,10,B,57.203,59.338,85.75,9.24,1.49,AC,JCT OF HWY 9 (ORANGEVILLE),0.6 KM NORTH OF FOURTH AVE (ORANGEVILLE),ART
61,,10,B,59.338,63.325,91.03,9.59,1.21,AC,0.6 KM NORTH OF FOURTH AVE (ORANGEVILLE),1.8 KM NORTH OF HOCKLEY ROAD,ART
62,,10,B,63.325,67.399,94.01,9.66,0.89,AC,1.8 KM NORTH OF HOCKLEY ROAD,375M NORTH OF MONO SIDE RD (CAMILLA),ART
63,,10,B,67.399,77.494,93.01,9.6,0.95,AC,375M NORTH OF MONO SIDE RD (CAMILLA),E. JCT. HWY 89 (PRIMROSE),ART
64,,10,B,77.494,84.036,77.26,8.21,1.39,AC,JCT. HWY 89 & HWY 10,"SHELBURNE CONNECT LINK, 300M W OF DUFFERIN RD 124",ART
65,,10,B,84.036,89.283,72.04,7.45,1.17,AC,SHELBURNE N. LTS.,DUFFERIN RD 17 (MELANCTHON),ART
66,,10,B,89.283,101.599,95.09,9.65,0.74,AC,DUFFERIN RD 17 (MELANCTHON),DUFFERIN RD 23-GREY RD 9,ART
67,,10,B,101.599,117.84,92.77,9.43,0.78,AC,DUFFERIN RD 23-GREY RD 9,FLESHERTON-CAMPBELL ST,ART
68,,10,B,118.405,122.372,79.23,8.64,1.64,AC,FLESHERTON-MARGARET ST,405M NORTH OF ROAD 130,ART
69,,10,B,122.372,127.152,83.5,8.95,1.44,AC,405M NORTH OF ROAD 130,MARKDALE S LTS - L 104-105,ART
70,,10,B,128.45,142.597,86.74,9.15,1.25,AC,MARKDALE N LTS - L97-98,HOLLAND CENTRE - GREY RD 24,ART
71,,10,B,142.597,153.394,87.07,9.18,1.24,AC,HOLLAND CENTRE - GREY RD 24,CHATSWORTH - HWY 6-GARAFRAXA ST,ART
72,,101,B,0,22.7,74.87,7.94,1.38,AC,QUEBEC-ONTARIO PROV BDY,SEC HWY 672,COL
73,,101,B,22.7,37.596,65.6,6.91,1.38,AC,SEC HWY 672,38.2 KM W OF QUEBEC BDR,COL
74,,101,B,37.596,58.995,75.22,7.83,1.2,AC,38.2 KM W OF QUEBEC BDR,SECT HWY 572,COL
75,,101,B,58.995,73.791,94.49,9.58,0.73,AC,SECT HWY 572,BLACK R BR MATHESON,COL
76,,101,B,80.9,95.554,81.37,8.02,0.6,AC,WEST JCT HWY 11,1.1KM W OF NORTH DRIFT RIVER BR,ART
77,,101,B,95.554,105.355,73.97,7.77,1.3,AC,1.1KM W OF NORTH DRIFT RIVER BR,0.3 KM E OF JCT HWY 67 & 101,ART
78,,101,B,105.355,120.266,66.99,7.16,1.5,AC,0.3 KM E OF JCT HWY 67 & 101,KIDD CK RD (3KM E NEW MET SITE ENTRANCE),ART
79,,101,B,120.266,125.913,43.34,5.22,2.32,AC,KIDD CK RD (3KM E NEW MET SITE ENTRANCE),300 M E OF ICS 101-045-TIMMINS,ART
