N,M,policy,mean_aoii,std_aoii,mean_delta
30,0,Whittle,43.441590000000005,2.364989657109166,35.03982333333333
30,0,MaxAge,50.33929666666667,5.124118473963216,33.98986666666667
30,0,Myopic,43.65899666666667,3.052164416659466,35.16305666666666
30,0,WorstState,252.29056333333332,4.116892359601414,94.34773666666668
30,0,Random,72.1899,3.0973096040129935,48.485816666666665
50,1,Whittle,65.24455400000002,1.6083408413902829,51.168699999999994
50,1,MaxAge,84.07016200000001,3.1905680690742186,54.034152000000006
50,1,Myopic,65.814798,1.9490763689183652,51.00174199999999
50,1,WorstState,257.557592,4.62919549443486,96.42486000000001
50,1,Random,98.20737199999999,2.9715618959893746,62.72022199999999
100,3,Whittle,47.04996799999999,1.045048827278421,38.46699
100,3,MaxAge,55.963362,1.5881663545095017,37.62203099999999
100,3,Myopic,47.817536,1.1393706096981802,39.224632
100,3,WorstState,255.584228,2.0823678773204297,94.8613
100,3,Random,79.95446199999999,2.9797073911973317,52.612315
200,6,Whittle,47.353089000000004,1.2395459560899704,38.62735550000001
200,6,MaxAge,56.564824,1.6997817253765288,37.774590499999995
200,6,Myopic,48.3139015,1.4473884689900125,39.653805000000006
200,6,WorstState,254.632705,2.7063011429301467,94.83163449999999
200,6,Random,80.85261700000001,1.4173451646497373,52.76474
