N,M,policy,mean_aoii,std_aoii,mean_delta
100,1,Whittle,96.966088,4.092666706866809,71.28520599999999
100,1,MaxAge,119.13851100000002,3.0419512017238195,75.423244
100,1,Myopic,96.13673,2.15028319208424,70.435352
100,1,WorstState,265.232752,1.8910046172222887,98.307787
100,1,Random,124.17887799999998,2.847203071369517,78.20509600000001
100,2,Whittle,62.913527,1.730198631637708,51.38125699999999
100,2,MaxAge,85.31438,2.7412890078720276,54.731071
100,2,Myopic,64.43922699999999,2.0425262163118,51.638926000000005
100,2,WorstState,260.451649,2.2032566114751515,96.57630900000001
100,2,Random,99.01008999999999,2.732820217357887,63.336481000000006
100,3,Whittle,47.04996799999999,1.045048827278421,38.46699
100,3,MaxAge,55.963362,1.5881663545095017,37.62203099999999
100,3,Myopic,47.817536,1.1393706096981802,39.224632
100,3,WorstState,255.584228,2.0823678773204297,94.8613
100,3,Random,79.95446199999999,2.9797073911973317,52.612315
100,5,Whittle,26.237088,1.0723986470599443,22.976895999999996
100,5,MaxAge,29.514582,1.198769550037037,22.810537000000004
100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
100,5,WorstState,246.305213,1.7038959540596932,91.50593800000001
100,5,Random,55.993472,0.9580915519281045,38.212846
100,10,Whittle,9.608768000000001,0.4880700786526458,11.593928
100,10,MaxAge,10.124675,0.4679316048793884,11.626645
100,10,Myopic,9.779920999999998,0.4400954636996385,11.603460000000002
100,10,WorstState,222.048423,2.101669937050288,82.78882300000001
100,10,Random,28.211396999999998,0.7833414703314253,21.537329999999997
