p_s,N,M,policy,mean_aoii,std_aoii,mean_delta
0.5,100,5,Whittle,26.237088,1.0723986470599443,22.976895999999996
0.5,100,5,MaxAge,29.514582,1.198769550037037,22.810537000000004
0.5,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.5,100,5,WorstState,246.305213,1.7038959540596932,91.50593800000001
0.5,100,5,Random,55.993472,0.9580915519281045,38.212846
0.7,100,5,Whittle,26.237088,1.0723986470599443,22.976895999999996
0.7,100,5,MaxAge,29.514582,1.198769550037037,22.810537000000004
0.7,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.7,100,5,WorstState,246.305213,1.7038959540596932,91.50593800000001
0.7,100,5,Random,55.993472,0.9580915519281045,38.212846
0.85,100,5,Whittle,26.237088,1.0723986470599443,22.976895999999996
0.85,100,5,MaxAge,29.514582,1.198769550037037,22.810537000000004
0.85,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.85,100,5,WorstState,246.305213,1.7038959540596932,91.50593800000001
0.85,100,5,Random,55.993472,0.9580915519281045,38.212846
0.95,100,5,Whittle,26.237088,1.0723986470599443,22.976895999999996
0.95,100,5,MaxAge,29.514582,1.198769550037037,22.810537000000004
0.95,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.95,100,5,WorstState,246.305213,1.7038959540596932,91.50593800000001
0.95,100,5,Random,55.993472,0.9580915519281045,38.212846
0.996,100,5,Whittle,26.237088,1.0723986470599443,22.976895999999996
0.996,100,5,MaxAge,29.514582,1.198769550037037,22.810537000000004
0.996,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.996,100,5,WorstState,246.305213,1.7038959540596932,91.50593800000001
0.996,100,5,Random,55.993472,0.9580915519281045,38.212846
