p_s,N,M,policy,mean_aoii,std_aoii,mean_delta
0.5,100,5,Whittle,26.255479,0.8624861528679751,22.943831999999997
0.5,100,5,MaxAge,29.530992000000005,1.126993354974198,22.677856
0.5,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.5,100,5,WorstState,245.90206600000002,2.176376287199434,91.331869
0.5,100,5,Random,55.993472,0.9580915519281045,38.212846
0.7,100,5,Whittle,26.255479,0.8624861528679751,22.943831999999997
0.7,100,5,MaxAge,29.530992000000005,1.126993354974198,22.677856
0.7,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.7,100,5,WorstState,245.90206600000002,2.176376287199434,91.331869
0.7,100,5,Random,55.993472,0.9580915519281045,38.212846
0.85,100,5,Whittle,26.255479,0.8624861528679751,22.943831999999997
0.85,100,5,MaxAge,29.530992000000005,1.126993354974198,22.677856
0.85,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.85,100,5,WorstState,245.90206600000002,2.176376287199434,91.331869
0.85,100,5,Random,55.993472,0.9580915519281045,38.212846
0.95,100,5,Whittle,26.255479,0.8624861528679751,22.943831999999997
0.95,100,5,MaxAge,29.530992000000005,1.126993354974198,22.677856
0.95,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.95,100,5,WorstState,245.90206600000002,2.176376287199434,91.331869
0.95,100,5,Random,55.993472,0.9580915519281045,38.212846
0.996,100,5,Whittle,26.255479,0.8624861528679751,22.943831999999997
0.996,100,5,MaxAge,29.530992000000005,1.126993354974198,22.677856
0.996,100,5,Myopic,27.116194999999998,1.2700203745078267,23.554972
0.996,100,5,WorstState,245.90206600000002,2.176376287199434,91.331869
0.996,100,5,Random,55.993472,0.9580915519281045,38.212846
