N,M,policy,mean_aoii,std_aoii,mean_delta
30,0,Whittle,23.616049999999998,0.8566858829556809,35.71543333333334
30,0,MaxAge,27.86698666666667,1.3959247461569475,33.70699666666666
30,0,Myopic,23.810979999999997,0.7468477795523144,36.573269999999994
30,0,WorstState,73.85518333333333,1.8472214397876379,84.02698666666666
30,0,Random,39.56191666666667,1.5968007081696538,48.485816666666665
50,1,Whittle,32.401005999999995,0.7181044780837954,51.567319999999995
50,1,MaxAge,44.434293999999994,1.656225792434114,54.30792
50,1,Myopic,34.967954000000006,1.0671078865438102,51.981552
50,1,WorstState,78.880568,1.0315464068746512,89.95316799999999
50,1,Random,51.521308,1.5905587771899545,62.72022199999999
100,3,Whittle,25.433531000000006,0.5995356307418265,39.457897
100,3,MaxAge,31.114235,0.8108879985947501,37.817672
100,3,Myopic,26.052137000000005,0.5503210383049152,40.701882999999995
100,3,WorstState,75.403074,0.5890279158274226,85.42504699999999
100,3,Random,42.908854,0.9843809579649531,52.612315
200,6,Whittle,25.753566,0.49437085226983174,39.850078499999995
200,6,MaxAge,30.933421,0.6008598416011836,37.7907795
200,6,Myopic,26.208163000000003,0.4511214531930401,41.07995249999999
200,6,WorstState,75.14718749999999,1.0218279683519376,85.3619225
200,6,Random,43.579214,0.8541059456671641,52.76474
