N,M,policy,mean_aoii,std_aoii,mean_delta
20,1,Whittle,27.15773333333333,2.238324148901485,23.778533333333332
20,1,MaxAge,30.2072,4.081100991971,23.151866666666667
20,1,Myopic,31.15426666666666,1.9908472054769932,25.081999999999997
20,1,WorstState,250.4766666666667,15.145375412389837,91.59573333333333
20,1,Random,53.937266666666666,7.163093715862042,38.1642
50,2,Whittle,34.502613333333336,1.3195859719708378,28.193839999999998
50,2,MaxAge,41.33104,2.4424302834676808,28.533066666666667
50,2,Myopic,34.763333333333335,1.5722200549400067,30.162773333333334
50,2,WorstState,249.2622133333333,4.980609473316393,93.7204
50,2,Random,69.17125333333334,3.8218754434730373,43.44365333333334
