N,M,policy,mean_aoii,std_aoii,mean_delta
50,2,Whittle,34.26602666666667,1.402351823220152,28.092106666666666
50,2,MaxAge,39.31346666666666,1.58039395369917,27.74408
50,2,Myopic,34.763333333333335,1.5722200549400067,30.162773333333334
50,2,WorstState,245.02205333333336,4.20860730792925,91.66048
50,2,Random,69.17125333333334,3.8218754434730373,43.44365333333334
50,5,Whittle,9.81856,0.6452755996213302,11.991253333333333
50,5,MaxAge,10.591813333333334,1.4886429927360771,11.969679999999999
50,5,Myopic,9.74768,1.0802586416224578,11.718693333333334
50,5,WorstState,218.26242666666667,4.957603984005017,82.75125333333334
50,5,Random,29.216800000000003,1.7846806103800945,21.73696
50,10,Whittle,2.8424,0.4417768969363004,6.09456
50,10,MaxAge,2.89752,0.4544995149245669,6.110720000000001
50,10,Myopic,3.0421600000000004,0.3905741906475645,6.12888
50,10,WorstState,175.29298666666668,7.375663767414799,66.2572
50,10,Random,11.220933333333335,1.9722114638028954,11.110586666666668
