p_s,N,M,policy,mean_aoii,std_aoii,mean_delta
0.9,50,5,Whittle,9.7876,1.0484819187123195,11.77856
0.9,50,5,MaxAge,10.514373333333333,1.4432683832037474,12.13
0.9,50,5,Myopic,9.74768,1.0802586416224578,11.718693333333334
0.9,50,5,WorstState,220.06714666666667,4.236733747887504,84.45397333333334
0.9,50,5,Random,29.216800000000003,1.7846806103800945,21.73696
0.996,50,5,Whittle,9.701759999999998,1.1781336960916904,11.689866666666667
0.996,50,5,MaxAge,11.121413333333336,1.7065656570108536,12.167786666666666
0.996,50,5,Myopic,9.74768,1.0802586416224578,11.718693333333334
0.996,50,5,WorstState,218.43999999999997,4.497799734210796,83.15629333333334
0.996,50,5,Random,29.216800000000003,1.7846806103800945,21.73696
